Jordan McLaughlin,36,3.9,1.5,3.3,0.9,0.1
Orlando Robinson,29,3.9,4.1,0.7,0.4,0.4
Matt Ryan,12,3.9,1.2,0.3,0.2,0
Jamaree Bouyea,4,3.8,1.3,1,1,0.5
Dyson Daniels,52,3.8,3.2,2.4,0.8,0.2
Darius Days,4,3.8,1.5,0.3,0,0.3
Luke Kornet,61,3.8,2.8,0.7,0.2,0.7
Bryce McGowens,39,3.8,1.7,0.9,0.3,0.2
Caleb Houstan,44,3.7,2.1,0.5,0.2,0.1
Nathan Knight,36,3.7,1.5,0.4,0.3,0.2
McKinley Wright IV,23,3.7,1.7,2.1,0.3,0.2
Bryn Forbes,25,3.6,0.6,0.7,0.3,0.1
Markieff Morris,27,3.6,2.2,0.9,0.3,0.2
Matt Ryan,21,3.6,0.6,0.5,0.1,0
Amir Coffey,47,3.5,1.1,1.1,0.1,0.1
Furkan Korkmaz,32,3.5,1,0.6,0.2,0.1
Kenneth Lofton Jr.,18,3.5,1.4,0.9,0.2,0.1
Paul Reed,61,3.5,3.4,0.3,0.6,0.7
Jericho Sims,49,3.5,4.7,0.5,0.3,0.6
Max Christie,38,3.4,1.9,0.5,0.2,0.2
Miles McBride,58,3.4,0.8,1.1,0.6,0.1
P.J. Tucker,69,3.4,4,0.8,0.6,0.2
Goga Bitadze,21,3.3,2.3,0.9,0.4,0.5
David Duke Jr.,19,3.3,1.1,0.8,0.4,0.1
Taj Gibson,45,3.3,2,0.7,0.3,0.3
Kevon Harris,31,3.3,1.9,0.4,0.5,0.1
Damian Jones,12,3.3,2.9,0.5,0.3,0.7
Kevin Knox II,12,3.3,1.6,0.3,0.2,0
Wesley Matthews,44,3.3,2.2,0.6,0.4,0.3
Josh Minott,14,3.3,1.8,0.3,0.3,0.4
Gorgui Dieng,26,3.2,2.8,1.5,0.2,0.4
Usman Garuba,67,3.2,4.3,0.9,0.6,0.4
Christian Koloko,51,3.2,3.1,0.5,0.3,1.1
Boban Marjanovic,26,3.2,1.8,0.3,0.2,0
Jason Preston,13,3.2,1.7,2.1,0.2,0
Anthony Gill,51,3.1,1.5,0.5,0.1,0.2
